,Name,ENV_DISCLOSURE_SCORE
189,NYSE_DXC,51.1627907
190,NYSE_EAF,2.325581395
191,NYSE_EHC,1.550387597
192,NYSE_EIX,37.24137931
193,NYSE_EMR,27.90697674
194,NYSE_ENR,3.875968992
195,NYSE_EPR,5.426356589
196,NYSE_ESI,6.201550388
197,NYSE_ESRT,15.50387597
198,NYSE_ETRN,1.550387597
199,OTC_FCNCA,1.785714286
200,NYSE_FCX,51.1627907
201,NYSE_FDX,73.64341085
202,OTC_FHB,7.142857143
203,NYSE_FHN,12.5
204,NYSE_FL,9.375
205,OTC_FLIR,6.976744186
206,NYSE_FLR,39.53488372
207,NYSE_FNB,12.5
208,NYSE_FNF,1.785714286
209,OTC_FTDR,1.550387597
210,OTC_FWONA,4.651162791
211,OTC_FWONK,4.651162791
212,OTC_GLPI,1.550387597
213,NYSE_GLW,13.95348837
214,OTC_GNTX,38.75968992
215,OTC_GO,3.875968992
216,OTC_GRMN,15.50387597
217,OTC_HAIN,1.550387597
218,NYSE_HAL,43.41085271
219,OTC_HDS,8.527131783
220,NYSE_HFC,44.96124031
221,NYSE_HGV,1.550387597
222,NYSE_HHC,10.85271318
223,NYSE_HIW,27.13178295
224,NYSE_HLF,7.751937984
225,OTC_HOLX,9.302325581
226,NYSE_HP,8.527131783
227,NYSE_HRC,3.875968992
228,NYSE_HSY,50.3875969
229,NYSE_HUBB,5.426356589
230,NYSE_HXL,17.05426357
231,OTC_HZNP,1.550387597
232,OTC_IART,6.976744186
233,OTC_ICUI,6.976744186
234,NYSE_INGR,17.82945736
235,OTC_INTC,62.79069767
236,NYSE_IPG,15.50387597
237,OTC_IPGP,1.550387597
238,NYSE_IR,1.550387597
239,NYSE_IRM,34.88372093
240,NYSE_J,17.05426357
241,OTC_JBHT,6.201550388
242,NYSE_JCI,68.99224806
243,NYSE_JHG,9.821428571
244,NYSE_JPM,36.60714286
245,NYSE_JW/A,2.325581395
246,NYSE_KEX,6.201550388
247,NYSE_KEY,27.67857143
248,NYSE_KMPR,5.357142857
249,NYSE_KNX,3.100775194
250,NYSE_LEG,9.302325581
251,OTC_LFUS,10.85271318
252,NYSE_LHX,12.40310078
253,OTC_LKQ,3.875968992
254,OTC_LOPE,2.325581395
255,NYSE_LSI,8.527131783
256,NYSE_LW,5.426356589
257,OTC_MCHP,17.05426357
258,NYSE_MCY,3.571428571
259,NYSE_MDT,24.03100775
260,NYSE_MKL,1.785714286
261,OTC_MKSI,2.325581395
262,NYSE_MMM,55.81395349
263,NYSE_MPW,1.550387597
264,OTC_MRVL,2.325581395
265,NYSE_MTG,6.25
266,NYSE_MTN,17.82945736
267,OTC_MXIM,13.95348837
268,OTC_MYL,36.43410853
269,OTC_NATI,2.325581395
270,OTC_NDSN,12.40310078
271,NYSE_NEM,63.56589147
272,NYSE_NEU,4.651162791
273,NYSE_NFG,1.652892562
274,OTC_NLOK,37.20930233
275,NYSE_NLSN,48.0620155
276,NYSE_NNN,1.550387597
277,NYSE_NRG,27.13178295
278,OTC_NUAN,10.07751938
279,NYSE_NUS,14.72868217
280,NYSE_NVST,1.550387597
281,NYSE_NVT,5.426356589
282,OTC_NWL,13.95348837
283,NYSE_NYCB,2.678571429
284,NYSE_O,6.201550388
285,NYSE_OC,68.99224806
286,OTC_ODFL,10.07751938
287,NYSE_OI,11.62790698
288,NYSE_OLN,12.40310078
289,NYSE_OSK,41.86046512
290,NYSE_OUT,2.325581395
291,OTC_PACW,3.571428571
292,NYSE_PAG,6.976744186
293,NYSE_PB,1.785714286
294,NYSE_PBF,8.527131783
295,NYSE_PG,52.71317829
296,NYSE_PGRE,3.875968992
297,OTC_PINC,4.651162791
298,OTC_PNFP,1.785714286
299,NYSE_POST,6.201550388
300,NYSE_PPL,47.5862069
301,NYSE_PSX,37.98449612
302,OTC_PTEN,11.57024793
303,NYSE_QGEN,11.62790698
304,OTC_QRTEA,17.82945736
305,NYSE_RE,21.42857143
306,NYSE_REZI,10.07751938
307,NYSE_RGA,1.785714286
308,OTC_RGLD,1.550387597
309,NYSE_RJF,2.678571429
310,NYSE_RNR,1.785714286
311,NYSE_ROP,10.85271318
312,NYSE_RPAI,1.550387597
313,NYSE_RPM,9.302325581
314,NYSE_RS,10.07751938
315,NYSE_RTX,19.37984496
316,NYSE_RYN,6.976744186
317,OTC_SABR,6.976744186
318,OTC_SBNY,1.785714286
319,NYSE_SERV,1.550387597
320,OTC_SIVB,8.035714286
321,NYSE_SKX,3.875968992
322,OTC_SLGN,1.550387597
323,NYSE_SNA,14.72868217
324,NYSE_SNDR,1.550387597
325,NYSE_SNV,9.821428571
326,NYSE_SNX,2.325581395
327,NYSE_SPB,11.62790698
328,NYSE_SPR,10.07751938
329,NYSE_SRE,46.20689655
330,OTC_STAY,1.550387597
331,NYSE_STE,20.15503876
332,OTC_STLD,1.550387597
333,NYSE_STT,57.14285714
334,OTC_SVC,3.100775194
335,NYSE_SWK,13.95348837
336,OTC_TCF,1.785714286
337,NYSE_TDG,1.550387597
338,NYSE_TDY,7.751937984
339,NYSE_THG,4.464285714
340,NYSE_THO,1.550387597
341,NYSE_THS,11.62790698
342,NYSE_TOL,8.527131783
343,OTC_TRMB,6.201550388
344,NYSE_TRN,1.550387597
345,NYSE_TWO,1.785714286
346,NYSE_UA,18.75
347,NYSE_UAA,18.75
348,NYSE_UGI,1.379310345
349,NYSE_UNVR,55.20833333
350,OTC_URBN,3.125
351,NYSE_VMI,8.527131783
352,NYSE_WAL,1.785714286
353,OTC_WBA,42.70833333
354,NYSE_WBS,9.821428571
355,NYSE_WPX,7.751937984
356,NYSE_WRI,1.550387597
357,NYSE_WRK,17.05426357
358,OTC_WTFC,3.571428571
359,OTC_WWD,16.27906977
360,NYSE_X,13.95348837
361,NYSE_YUMC,32.29166667
362,OTC_ZION,7.142857143
363,OTC_1COV,55.81395349
364,OTC_AAL,39.53488372
365,OTC_AALB,33.33333333
366,OTC_ABBN,57.36434109
367,OTC_ABF,48.0620155
368,OTC_AC,34.88372093
369,OTC_ACA,49.10714286
370,OTC_ACKB,17.85714286
371,OTC_AD,36.43410853
372,OTC_ADM,27.67857143
373,OTC_ADS,34.88372093
374,OTC_ADYEN,13.95348837
375,OTC_AFX,13.17829457
376,OTC_AGK,17.82945736
377,OTC_AGN,41.07142857
378,OTC_AGS,2.678571429
379,OTC_AHT,16.27906977
380,OTC_AI,43.41085271
381,OTC_AKE,62.01550388
382,OTC_AKERBP,48.8372093
383,OTC_AKZA,39.53488372
384,OTC_ALLN,16.27906977
385,OTC_ALO,44.96124031
386,OTC_AM,37.98449612
387,OTC_AMBUB,24.80620155
388,OTC_AMP,46.875
389,OTC_AMS,17.05426357
390,OTC_AMUN,36.60714286
391,OTC_ANDR,41.86046512
392,OTC_ASHM,16.27906977
393,OTC_ASM,23.25581395
394,OTC_ASRNL,49.10714286
395,OTC_ASSAB,56.58914729
396,OTC_AT1,33.33333333
397,OTC_ATC,46.51162791
398,OTC_ATCOA,34.10852713
399,OTC_ATE,27.13178295
400,OTC_ATL,50.3875969
401,OTC_ATO,37.20930233
402,OTC_AUTO,13.95348837
403,OTC_AVST,13.95348837
404,OTC_AVV,17.82945736
405,OTC_AZN,45.73643411
406,OTC_B4B,48.95833333
407,OTC_BAKKA,42.63565891
